127.0.0.1 - - [29/Aug/2016:23:23:25 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:26 +0900] "GET /ProjectA/WEB-INF/views/mosaic.jsp HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:35 +0900] "GET /ProjectA/ HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/mosaic HTTP/1.1" 200 12788
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/css/common.css;jsessionid=DC4A52895A751D12703A297EF48810C3 HTTP/1.1" 200 6642
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/css/jquery-ui.css;jsessionid=DC4A52895A751D12703A297EF48810C3 HTTP/1.1" 200 38667
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/js/common.js;jsessionid=DC4A52895A751D12703A297EF48810C3 HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/images/mosaic_logo.png HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/images/base-01.png HTTP/1.1" 200 3206
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/images/base-03.png HTTP/1.1" 200 6294
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/images/base-04.png HTTP/1.1" 200 8949
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/images/base-02.png HTTP/1.1" 200 9365
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/images/base-06.png HTTP/1.1" 200 3210
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/images/base-05.png HTTP/1.1" 200 5637
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/images/base-07.png HTTP/1.1" 200 8584
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/images/facebooklogo.png HTTP/1.1" 200 16165
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/images/twitter.png HTTP/1.1" 200 32528
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:23:45 +0900] "GET /ProjectA/resources/images/instagram.png HTTP/1.1" 200 181331
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:24:08 +0900] "POST /ProjectA/mosaic_generate HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [29/Aug/2016:23:24:13 +0900] "POST /mosaic_save HTTP/1.1" 404 1041
