127.0.0.1 - - [01/Sep/2016:00:31:55 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:31:57 +0900] "GET /ProjectA/WEB-INF/classes/com/example/ProjectA/MosaicController.java HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:05 +0900] "GET /ProjectA HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:05 +0900] "GET /ProjectA/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/mosaic HTTP/1.1" 200 12823
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/css/jquery-ui.css;jsessionid=81E9393F22F63E73C6AF8257CF5CB7F3 HTTP/1.1" 200 38667
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/css/common.css;jsessionid=81E9393F22F63E73C6AF8257CF5CB7F3 HTTP/1.1" 200 6642
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/images/mosaic_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/images/base-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/images/base-02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/images/base-03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/js/common.js;jsessionid=81E9393F22F63E73C6AF8257CF5CB7F3 HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/images/base-04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/images/base-05.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/images/base-06.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/images/base-07.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/images/facebooklogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2016:00:32:08 +0900] "GET /ProjectA/resources/images/instagram.png HTTP/1.1" 304 -
